101  1 ---------------------
101  2 ---------------------
101  3 ---------------------
101  4 ---------------------
101  5 ---------------------
101  6 ---------------------
101  7 ---------------------
101  8 ---------------------
101  9 ---------------------
101 10 ---------------------
102  1 ---------------------
102  2 ---------------------
102  3 ---------------------
102  4 ---------------------
102  5 ---------------------
102  6 ---------------------
102  7 ---------------------
102  8 ---------------------
102  9 ---------------------
102 10 ---------------------
103  1 ---------------------
103  2 ---------------------
103  3 ---------------------
103  4 ---------------------
103  5 ---------------------
103  6 ---------------------
103  7 ---------------------
103  8 ---------------------
103  9 ---------------------
103 10 ---------------------
201  1 ---------------------
201  2 ---------------------
201  3 ---------------------
201  4 ---------------------
201  5 ---------------------
201  6 ---------------------
201  7 ---------------------
201  8 ---------------------
201  9 ---------------------
201 10 ---------------------
202  1 ---------------------
202  2 ---------------------
202  3 ---------------------
202  4 ---------------------
202  5 ---------------------
202  6 ---------------------
202  7 ---------------------
202  8 ---------------------
202  9 ---------------------
202 10 ---------------------
203  1 ---------------------
203  2 ---------------------
203  3 ---------------------
203  4 ---------------------
203  5 ---------------------
203  6 ---------------------
203  7 ---------------------
203  8 ---------------------
203  9 ---------------------
203 10 ---------------------
